Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Duration,Injury_Severity,Avg_Rating_Before_Injury,Avg_Rating_After_Return,Performance_Impact,Form_Before_Injury,Form_After_Return,Form_Impact,Total_Injuries,Unique_Injury_Types,Avg_Injury_Duration,Total_Days_Injured,Injury_Duration_Std,Severe_Injuries,Injury_Frequency,Pre_Injury_GD_Trend,Pre_Injury_GD_Volatility,Team_Performance_During_Absence,Recent_Opposition_Strength,Age_Risk_Score,Position_Risk_Score,History_Risk_Score,Overall_Risk_Score,Club
Maxwel Cornet,Burnley,Left Winger,25,2021/22,75,hamstring injury,2021-12-04,2021-12-31,lose,Newcastle,-1.0,5.5,draw,Wolves,0.0,5.5,draw,Crystal Palace,0.0,6.9,draw,West Ham,0.0,lose,Man United,-2.0,N.A.,N.A.,,lose,Leeds,-2,7.0,draw,Watford,0,7.0,draw,Man United,0,5.9,27.0,Major,5.966666666666666,6.633333333333333,0.666666666666667,0.6666666666666666,0.6666666666666666,0.0,2,2,20.0,40.0,9.899494936611664,0,17.804878048780488,-0.3333333333333333,0.5773502691896258,-1.0,3,0.3333333333333333,0.5,0.6141463414634145,0.5154065040650406,Olympique Lyon
Maxwel Cornet,Burnley,Left Winger,25,2021/22,75,knee problems,2022-04-22,2022-05-05,win,Southampton,2.0,6.0,draw,West Ham,0.0,5.6,lose,Norwich City,-2.0,6.0,win,Wolves,1.0,win,Watford,1.0,N.A.,N.A.,,lose,Aston Villa,-2,7.0,lose,Tottenham,-1,5.8,draw,Aston Villa,0,5.4,13.0,Moderate,5.866666666666667,6.066666666666667,0.2000000000000001,1.3333333333333333,0.3333333333333333,-1.0,2,2,20.0,40.0,9.899494936611664,0,17.804878048780488,0.0,2.0,1.0,2,0.3333333333333333,0.5,0.6141463414634145,0.5154065040650406,Olympique Lyon
Jordan Beyer,Burnley,Center Back,23,2023/24,75,meniscus injury,2023-10-04,2023-10-30,win,Luton Town,1.0,6.9,lose,Newcastle,-2.0,6.1,lose,Man United,-1.0,7.0,lose,Chelsea,-3.0,lose,Brentford,-3.0,lose,Bournemouth,-1.0,lose,Crystal Palace,-2,5.8,lose,Arsenal,-3,6.3,lose,West Ham,-1,6.4,26.0,Major,6.666666666666667,6.166666666666667,-0.5,1.0,0.0,-1.0,2,2,26.0,26.0,,0,27.037037037037035,-0.6666666666666666,1.5275252316519463,-2.333333333333333,2,0.2,0.8,0.8911111111111112,0.6955555555555556,Borussia Mönchengladbach
Jordan Beyer,Burnley,Center Back,23,2023/24,75,knee injury,2024-01-08,,lose,Aston Villa,-1.0,5.9,lose,Liverpool,-2.0,6.4,win,Fulham,2.0,7.0,draw,Luton Town,0.0,lose,Man City,-2.0,draw,Fulham,0.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,,,6.433333333333334,,,1.0,,,2,2,26.0,26.0,,0,27.037037037037035,-0.3333333333333333,2.081665999466133,-0.6666666666666666,2,0.2,0.8,0.8911111111111112,0.6955555555555556,Borussia Mönchengladbach
Hjalmar Ekdal,Burnley,Center Back,23,2023/24,73,knee injury,2023-08-30,2023-11-18,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,lose,Tottenham,-3.0,draw,Nottm Forest,0.0,lose,Man United,-1.0,win,Sheffield,5,6.0,lose,Wolves,-1,6.4,draw,Brighton,0,6.0,80.0,Severe,,6.133333333333333,,,1.3333333333333333,,1,1,80.0,80.0,,1,4.506172839506172,,,-1.3333333333333333,2,0.2,0.8,0.2051851851851851,0.3525925925925925,
Mike Trésor,Burnley,Left Winger,24,2023/24,78,hamstring injury,2023-08-10,2023-09-17,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,lose,Tottenham,-3.0,N.A.,N.A.,,N.A.,N.A.,,draw,Nottm Forest,0,6.0,lose,Man United,-1,5.9,lose,Chelsea,-3,5.6,38.0,Major,,5.833333333333333,,,0.3333333333333333,,1,1,38.0,38.0,,0,9.35897435897436,,,-3.0,2,0.2666666666666666,0.5,0.3207692307692308,0.352051282051282,
Luca Koleosho,Burnley,Right Winger,19,2023/24,68,knee injury,2023-12-06,2024-06-17,lose,Wolves,-1.0,6.0,win,Sheffield,5.0,7.2,lose,West Ham,-1.0,6.0,draw,Brighton,0.0,lose,Everton,-2.0,win,Fulham,2.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,194.0,Severe,6.4,,,1.0,,,1,1,194.0,194.0,,1,1.871794871794872,1.0,3.4641016151377544,0.0,3,0.1,0.5,0.1261538461538461,0.213076923076923,
Nathan Redmond,Burnley,Right Winger,29,2023/24,75,unknown injur,2023-09-10,2023-10-15,lose,Tottenham,-3.0,5.6,lose,Aston Villa,-2.0,5.7,N.A.,N.A.,,,draw,Nottm Forest,0.0,lose,Man United,-1.0,lose,Newcastle,-2.0,lose,Brentford,-3,6.0,lose,Crystal Palace,-2,5.0,win,Sheffield,5,6.0,35.0,Major,5.65,5.666666666666667,0.0166666666666666,0.0,1.0,1.0,1,1,35.0,35.0,,0,10.138888888888888,-2.5,0.7071067811865476,-1.0,4,0.6,0.5,0.3441666666666666,0.4470833333333333,Southampton FC
Lyle Foster,Burnley,Center Forward,23,2023/24,69,depression,2023-11-09,2023-12-10,lose,Brentford,-3.0,5.9,lose,Chelsea,-3.0,5.7,win,Luton Town,1.0,6.9,lose,Arsenal,-2.0,lose,West Ham,-1.0,win,Sheffield,5.0,lose,Everton,-2,6.0,win,Fulham,2,6.1,lose,Liverpool,-2,5.1,31.0,Major,6.166666666666667,5.733333333333333,-0.4333333333333335,1.0,1.0,0.0,1,1,31.0,31.0,,0,11.40625,-1.6666666666666667,2.309401076758504,0.6666666666666666,2,0.2,0.6,0.3821875,0.39109375,
Ameen Al-Dakhil,Burnley,Center Back,21,2023/24,72,muscle injury,2024-02-08,2024-09-23,lose,Man City,-2.0,6.8,draw,Luton Town,0.0,6.3,N.A.,N.A.,,,lose,Liverpool,-2.0,lose,Arsenal,-5.0,lose,Crystal Palace,-3.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,228.0,Severe,6.55,,,0.5,,,1,1,228.0,228.0,,1,1.593886462882096,-1.0,1.4142135623730951,-3.333333333333333,5,0.0666666666666666,0.8,0.1178165938864628,0.2755749636098981,
Vitinho,Burnley,Right Back,24,2023/24,71,knee injury,2023-08-30,2023-09-25,lose,Man City,-3.0,5.5,N.A.,N.A.,,,N.A.,N.A.,,,lose,Tottenham,-3.0,draw,Nottm Forest,0.0,lose,Man United,-1.0,lose,Chelsea,-3,5.3,lose,Bournemouth,-1,5.3,lose,Crystal Palace,-2,6.0,26.0,Major,5.5,5.533333333333334,0.0333333333333341,0.0,0.0,0.0,1,1,26.0,26.0,,0,13.518518518518515,-3.0,,-1.3333333333333333,5,0.2666666666666666,0.7,0.4455555555555556,0.4644444444444444,
Jordan Pickford,Everton,Goalkeeper,26,2020/21,80,chest injury,2021-01-28,2021-02-18,lose,Newcastle,-2.0,5.9,draw,Leicester,0.0,6.5,win,Wolves,1.0,6.3,win,Leeds,1.0,draw,Man United,0.0,lose,Fulham,-2.0,lose,Man City,-2,6.0,win,Liverpool,2,8.2,win,Southampton,1,6.7,21.0,Moderate,6.233333333333333,6.966666666666666,0.7333333333333325,1.3333333333333333,2.0,0.6666666666666667,3,3,17.666666666666668,53.0,3.511884584284246,0,20.27777777777777,-0.3333333333333333,1.5275252316519468,-0.3333333333333333,3,0.4,0.2,0.7283333333333333,0.5141666666666667,Everton FC
Jordan Pickford,Everton,Goalkeeper,27,2021/22,81,shoulder injury,2021-09-13,2021-09-27,win,Burnley,2.0,7.3,win,Brighton,2.0,7.0,draw,Leeds,0.0,7.0,lose,Aston Villa,-3.0,N.A.,N.A.,,N.A.,N.A.,,win,Norwich City,2,6.0,draw,Man United,0,7.1,lose,West Ham,-1,6.8,14.0,Moderate,7.1000000000000005,6.633333333333333,-0.4666666666666677,2.333333333333333,1.3333333333333333,-1.0000000000000002,3,3,17.666666666666668,53.0,3.511884584284246,0,20.27777777777777,1.3333333333333333,1.1547005383792517,-3.0,1,0.4666666666666667,0.2,0.7283333333333333,0.5308333333333333,Everton FC
Jordan Pickford,Everton,Goalkeeper,28,2022/23,82,thigh problems,2022-09-09,2022-09-27,draw,Liverpool,0.0,9.0,draw,Leeds,0.0,6.0,draw,Brentford,0.0,7.3,win,West Ham,1.0,N.A.,N.A.,,N.A.,N.A.,,win,Southampton,1,7.5,lose,Man United,-1,5.9,lose,Tottenham,-2,6.0,18.0,Moderate,7.433333333333334,6.466666666666666,-0.9666666666666676,1.0,1.0,0.0,3,3,17.666666666666668,53.0,3.511884584284246,0,20.27777777777777,0.0,0.0,1.0,5,0.5333333333333333,0.2,0.7283333333333333,0.5475,Everton FC
Michael Keane,Everton,Center Back,27,2019/20,79,neck injury,2020-01-17,2020-01-20,win,Brighton,1.0,7.6,win,Newcastle,1.0,6.2,draw,Arsenal,0.0,6.0,draw,West Ham,0.0,N.A.,N.A.,,N.A.,N.A.,,win,Watford,1,6.1,win,Crystal Palace,2,6.4,draw,Man United,0,6.6,3.0,Minor,6.6000000000000005,6.366666666666667,-0.2333333333333334,2.333333333333333,2.333333333333333,0.0,1,1,3.0,3.0,,0,91.25,0.6666666666666666,0.5773502691896258,0.0,3,0.4666666666666667,0.8,2.7775,1.7054166666666666,Everton FC
Yerry Mina,Everton,Center Back,25,2019/20,79,knee injury,2019-10-20,2019-11-02,win,West Ham,2.0,7.1,lose,Burnley,-1.0,6.6,lose,Man City,-2.0,6.2,lose,Brighton,-1.0,N.A.,N.A.,,N.A.,N.A.,,draw,Tottenham,0,6.6,win,Southampton,1,6.4,lose,Norwich City,-2,5.8,13.0,Moderate,6.633333333333333,6.266666666666667,-0.3666666666666662,1.0,1.3333333333333333,0.3333333333333332,8,7,39.875,319.0,27.41968792153342,3,9.125,-0.3333333333333333,2.081665999466133,-1.0,3,0.3333333333333333,0.8,0.68375,0.6252083333333334,Everton FC
Yerry Mina,Everton,Center Back,25,2019/20,79,bruise,2019-12-06,2019-12-14,lose,Liverpool,-3.0,5.8,lose,Leicester,-1.0,6.1,lose,Norwich City,-2.0,5.8,win,Chelsea,2.0,N.A.,N.A.,,N.A.,N.A.,,draw,Man United,0,5.9,draw,Arsenal,0,7.1,win,Burnley,1,8.1,8.0,Moderate,5.9,7.033333333333334,1.1333333333333346,0.0,1.6666666666666667,1.6666666666666667,8,7,39.875,319.0,27.41968792153342,3,9.125,-2.0,1.0,2.0,5,0.3333333333333333,0.8,0.68375,0.6252083333333334,Everton FC
Yerry Mina,Everton,Center Back,25,2019/20,79,muscle injury,2020-06-02,2020-06-30,lose,Arsenal,-1.0,6.5,win,Crystal Palace,2.0,6.3,win,Watford,1.0,8.6,draw,Liverpool,0.0,win,Norwich City,1.0,N.A.,N.A.,,win,Leicester,1,6.2,lose,Tottenham,-1,6.6,draw,Southampton,0,6.8,28.0,Major,7.133333333333333,6.533333333333334,-0.5999999999999988,2.0,1.3333333333333333,-0.6666666666666667,8,7,39.875,319.0,27.41968792153342,3,9.125,0.6666666666666666,1.5275252316519463,0.5,4,0.3333333333333333,0.8,0.68375,0.6252083333333334,Everton FC
